Sprite Room,Monster Room,Same Room,Distance To Char,Distance To Room Center,Killed,Action Choice
2,5,0,257.895,180.268,0,1
5,5,1,143.268,13.8289,0,1
2,5,0,191.018,236.512,0,1
0,5,0,292.086,416.13,0,1
0,5,0,323.056,295.435,0,1
0,5,0,267.024,374.182,0,1
2,5,0,263.238,281.446,0,1
0,5,0,491.927,442.467,0,1
0,5,0,263.67,327.257,0,1
0,5,0,431.732,410.108,0,1
0,5,0,362.582,321.867,0,1
0,5,0,483.621,461.147,0,1
0,5,0,337.185,359.486,0,1
1,5,0,210.409,295.28,0,1
0,5,0,498.122,476.495,0,1
4,5,0,87.9418,153.871,0,1
0,5,0,445.15,331.779,0,1
0,5,0,252.239,316.226,0,1
5,5,1,214.615,41.9569,0,1
0,5,0,401.109,401.87,0,1
0,5,0,407.784,418.892,0,1
5,5,1,77.6039,118.607,0,1
0,5,0,457.995,350.764,0,1
0,5,0,321.043,426.547,0,1
0,5,0,351.232,320.143,0,1
0,5,0,435.648,320.769,0,1
0,5,0,461.327,445.226,0,1
0,5,0,331.332,413.581,0,1
0,5,0,478.339,424.615,0,1
0,5,0,404.798,319.211,0,1
0,5,0,367.746,440.621,0,1
0,5,0,371.326,355.789,0,1
0,5,0,395.243,328.97,0,1
0,5,0,389.133,325.873,0,1
2,5,0,351.096,297.03,0,1
0,5,0,394.555,329.504,0,1
0,5,0,469.383,482.584,0,1
0,5,0,502.174,480.7,0,1
0,5,0,404.812,406.709,0,1
2,5,0,240.31,236.85,0,1
0,5,0,292.162,395.424,0,1
0,5,0,320.899,425.957,0,1
0,5,0,318.564,313.762,0,1
1,5,0,309.283,364.982,0,1
0,5,0,492.39,484.735,0,1
0,5,0,376.922,342.956,0,1
0,5,0,403.441,404.92,0,1
0,5,0,424.566,436.158,0,1
0,5,0,328.479,347.954,0,1
0,5,0,372.998,383.775,0,1
0,5,0,489.919,438.327,0,1
0,5,0,466.958,419.313,0,1
1,5,0,256.148,317.64,0,1
2,5,0,317.043,238.93,0,1
2,5,0,261.133,250.193,0,1
0,5,0,287.557,344.324,0,1
0,5,0,327.899,315.326,0,1
0,5,0,278.155,325.484,0,1
0,5,0,248.299,360.674,0,1
5,5,1,64.0401,99.1839,0,1
0,5,0,381.154,324.167,0,1
5,5,1,122.144,23.9325,0,1
0,5,0,252.547,324.827,0,1
0,5,0,336.326,415.163,0,1
0,5,0,491.627,486.991,0,1
2,5,0,234.125,225.427,0,1
0,5,0,263.675,316.37,0,1
0,5,0,407.38,406.292,0,1
0,5,0,374.319,335.978,0,1
2,5,0,173.35,253.445,0,1
2,5,0,246.124,275.355,0,1
0,5,0,369.762,439.279,0,1
0,5,0,372.136,317.022,0,1
2,5,0,242.935,189.385,0,1
1,5,0,308.981,366.162,0,1
0,5,0,376.668,319.259,0,1
5,5,1,78.0067,119.042,0,1
